,Studio,One Bedroom,Two Bedroom,Three Bedroom,Four Bedroom,County,Population,State
4161,1033,1163,1500,1854,2034,Chittenden County,1355,VT
4162,1033,1163,1500,1854,2034,Chittenden County,35,VT
4163,1033,1163,1500,1854,2034,Chittenden County,42455,VT
4164,1033,1163,1500,1854,2034,Chittenden County,3820,VT
4165,1033,1163,1500,1854,2034,Chittenden County,17310,VT
4166,1033,1163,1500,1854,2034,Chittenden County,20900,VT
4167,1033,1163,1500,1854,2034,Chittenden County,4510,VT
4168,1033,1163,1500,1854,2034,Chittenden County,1915,VT
4169,1033,1163,1500,1854,2034,Chittenden County,5055,VT
4170,1033,1163,1500,1854,2034,Chittenden County,10760,VT
4171,1033,1163,1500,1854,2034,Chittenden County,4130,VT
4172,1033,1163,1500,1854,2034,Chittenden County,680,VT
4173,1033,1163,1500,1854,2034,Chittenden County,7675,VT
4174,1033,1163,1500,1854,2034,Chittenden County,18775,VT
4175,1033,1163,1500,1854,2034,Chittenden County,3055,VT
4176,1033,1163,1500,1854,2034,Chittenden County,2020,VT
4177,1033,1163,1500,1854,2034,Chittenden County,9340,VT
4178,1033,1163,1500,1854,2034,Chittenden County,7205,VT
4179,585,654,781,1032,1085,Essex County,20,VT
4180,585,654,781,1032,1085,Essex County,0,VT
4181,585,654,781,1032,1085,Essex County,230,VT
4182,585,654,781,1032,1085,Essex County,1105,VT
4183,585,654,781,1032,1085,Essex County,75,VT
4184,585,654,781,1032,1085,Essex County,1030,VT
4185,585,654,781,1032,1085,Essex County,1360,VT
4186,585,654,781,1032,1085,Essex County,315,VT
4187,585,654,781,1032,1085,Essex County,4,VT
4188,585,654,781,1032,1085,Essex County,105,VT
4189,585,654,781,1032,1085,Essex County,185,VT
4190,585,654,781,1032,1085,Essex County,135,VT
4191,585,654,781,1032,1085,Essex County,0,VT
4192,585,654,781,1032,1085,Essex County,1255,VT
4193,585,654,781,1032,1085,Essex County,185,VT
4194,585,654,781,1032,1085,Essex County,125,VT
4195,585,654,781,1032,1085,Essex County,70,VT
4196,585,654,781,1032,1085,Essex County,0,VT
4197,585,654,781,1032,1085,Essex County,0,VT
4198,1033,1163,1500,1854,2034,Franklin County,1230,VT
4199,1033,1163,1500,1854,2034,Franklin County,1710,VT
4200,1033,1163,1500,1854,2034,Franklin County,2760,VT
4201,1033,1163,1500,1854,2034,Franklin County,4575,VT
4202,1033,1163,1500,1854,2034,Franklin County,1900,VT
4203,1033,1163,1500,1854,2034,Franklin County,1425,VT
4204,1033,1163,1500,1854,2034,Franklin County,1415,VT
4205,1033,1163,1500,1854,2034,Franklin County,4690,VT
4206,1033,1163,1500,1854,2034,Franklin County,3625,VT
4207,1033,1163,1500,1854,2034,Franklin County,1000,VT
4208,1033,1163,1500,1854,2034,Franklin County,2460,VT
4209,1033,1163,1500,1854,2034,Franklin County,6845,VT
4210,1033,1163,1500,1854,2034,Franklin County,6350,VT
4211,1033,1163,1500,1854,2034,Franklin County,2315,VT
4212,1033,1163,1500,1854,2034,Franklin County,6520,VT
4213,1033,1163,1500,1854,2034,Grand Isle County,1650,VT
4214,1033,1163,1500,1854,2034,Grand Isle County,2230,VT
4215,1033,1163,1500,1854,2034,Grand Isle County,495,VT
4216,1033,1163,1500,1854,2034,Grand Isle County,970,VT
4217,1033,1163,1500,1854,2034,Grand Isle County,1610,VT
4218,801,806,1061,1343,1439,Lamoille County,410,VT
4219,801,806,1061,1343,1439,Lamoille County,3800,VT
4220,801,806,1061,1343,1439,Lamoille County,1255,VT
4221,801,806,1061,1343,1439,Lamoille County,870,VT
4222,801,806,1061,1343,1439,Lamoille County,3015,VT
4223,801,806,1061,1343,1439,Lamoille County,3565,VT
4224,801,806,1061,1343,1439,Lamoille County,5405,VT
4225,801,806,1061,1343,1439,Lamoille County,4405,VT
4226,801,806,1061,1343,1439,Lamoille County,725,VT
4227,801,806,1061,1343,1439,Lamoille County,1735,VT
4228,787,793,1043,1304,1436,Orange County,2730,VT
4229,787,793,1043,1304,1436,Orange County,1105,VT
4230,787,793,1043,1304,1436,Orange County,1460,VT
4231,787,793,1043,1304,1436,Orange County,1290,VT
4232,787,793,1043,1304,1436,Orange County,1375,VT
4233,787,793,1043,1304,1436,Orange County,1055,VT
